Word,Class,CEFR,Translation,Meaning,Translation Meaning,Example 1,Example 2,Translation E1,Translation E2,Song/singer,Lyrics,Translation
abandon,v.,B2,abandonar/abandono,"To give up or relinquish control of, to surrender or to give oneself over, or to yield to one's emotions. | To desist in doing, practicing, following, holding, or adhering to; to turn away from; to permit to lapse; to renounce; to discontinue.","Desistir ou renunciar ao controle, render-se ou entregar-se, ou ceder às próprias emoções. | Desistir de fazer, praticar, seguir, manter ou aderir; afastar-se de; permitir a caducidade; renunciar; descontinuar.",They have abandoned their old plans and decided to pursue new opportunities instead.,Have you abandoned your dream of becoming a professional musician forever?,Eles abandonaram seus planos antigos e resolveram perseguir novas oportunidades em vez disso.,Você abandonou para sempre seu sonho de se tornar um músico profissional?,Sia - Courage to Change,Abandon myself daily,Abandono-me diariamente
ability,n.,A2,habilidade,Suitableness. | The quality or state of being able; capacity to do or of doing something; having the necessary power.,Adequação. | A qualidade ou estado de ser capaz; capacidade de fazer ou de fazer algo; ter o poder necessário.,She was showing a great ability to handle difficult situations calmly.,Does the new employee have the ability to work independently today?,Ela estava mostrando uma grande habilidade em lidar com situações difíceis de forma calma.,O novo funcionário tem a habilidade de trabalhar sozinho hoje?,,,
able,adj.,A2,capaz,Easy to use. | Suitable; competent.,Fácil de usar. | Adequado; competente.,The new camera was very able and easy to use for beginners.,My brother was able to play the piano fluently at that time.,A nova câmera era muito fácil e fácil de usar para iniciantes.,Meu irmão era capaz de tocar o piano fluentemente naquela época.,Able Heart - Whisper,Able Heart — Whisper,Coração Capaz — Sussurro
abolish,v.,C1,abolir,"To end a law, system, institution, custom or practice. | To put an end to or destroy, as a physical object; to wipe out.","Acabar com uma lei, sistema, instituição, costume ou prática. | Acabar ou destruir, como um objeto físico; acabar.",They are currently working to abolish the outdated and unjust electoral system nationwide slowly.,Will the government abolish the outdated law that restricts women's education soon?,Estão atualmente trabalhando para abolir o sistema eleitoral ultrapassado e injusto em todo o país gradualmente.,O governo abolirá logo a lei ultrapassada que restriunge a educação das mulheres?,,,
abortion,n.,C1,aborto,"The expulsion from the womb of a foetus or embryo before it is fully developed, with loss of the foetus; either naturally as a spontaneous abortion (now usually called a miscarriage), or deliberately as an induced abortion. | An aborted foetus; an abortus.","A expulsão do útero de um feto ou embrião antes que ele esteja totalmente desenvolvido, com perda do feto; ou naturalmente como um aborto espontâneo (agora geralmente chamado de aborto espontâneo), ou deliberadamente como um aborto induzido. | Um feto abortado; um aborto.",Abortion is a medical procedure that involves the expulsion of a foetus.,Is abortion a widely accepted choice in many modern societies today?,O aborto é um procedimento médico que envolve a expulsão de um feto.,O aborto é uma escolha amplamente aceita em muitas sociedades modernas de hoje?,,,
about,adv.,A1,sobre,On all sides; around. | Here and there; around; in one place and another; up and down.,Por todos os lados; ao redor. | Aqui e ali; ao redor; em um lugar e outro; para cima e para baixo.,"The children were playing about the garden, laughing and having a great time together.","They are running about in the park, enjoying the beautiful sunny weather outside today.","As crianças estavam brincando ao redor do jardim, rindo e tendo um ótimo tempo juntas.","Eles estão correndo ao redor do parque, aproveitando o lindo tempo ensolarado de hoje fora.",FISHER - Atmosphere,Think about you all the time,Eu penso em você o tempo todo
above,adv.,A1,acima,Directly overhead; vertically on top of. | Higher in the same page; earlier in the order as far as writing products go.,"Diretamente acima; verticalmente em cima de. | Mais alto na mesma página; mais cedo na ordem, no que diz respeito a produtos de escrita.","The plane is flying above the clouds, its engines roaring loudly at this moment.",Is the bird nesting above the window of your small cottage upstairs today?,"O avião está voando acima das nuvens, seus motores rugindo alto nesse momento.",O pássaro está nidificando acima da janela da sua pequena cabana de cima hoje?,D.O.D - Love Nor Money,You must be sent from up above,Você deve ser enviado de cima
abroad,adv.,A2,no exterior,Beyond the bounds of a country; in foreign countries. | At large; widely; broadly; over a wide space.,Além dos limites de um país; em países estrangeiros. | Em geral; amplamente; amplamente; em um amplo espaço.,"They are traveling abroad throughout Europe, exploring its beautiful cities and landscapes every day.",Are many tourists visiting abroad during the peak summer holiday season in July?,"Eles estão viajando pelo exterior em toda a Europa, explorando suas belas cidades e paisagens todos os dias.",Muitos turistas estão visitando o exterior durante a temporada de férias de verão mais movimentada em julho?,,,
absence,n.,C1,ausência ,"A state of being away or withdrawn from a place or from companionship; the period of being away. | Failure to be present where one is expected, wanted, or needed; nonattendance; deficiency.","Um estado de afastamento ou retirada de um lugar ou de companhia; o período de afastamento. | Não estar presente onde é esperado, desejado ou necessário; não comparecimento; deficiência.",She has been away from her family for three years due to her absence.,The teacher noticed the student's absence during the entire school holiday last year.,Ela está ausente da sua família há três anos devido à sua ausência.,O professor notou a ausência do aluno durante todo o período de férias escolares do ano passado.,ReMix Kings - Stolen Dance 2016 (Tropical Mix),Caused by absence of you,Causada pela sua ausência
absent,adj.,C1,Ausente,Being away from a place; withdrawn from a place; not present; missing. | Not existing; lacking.,Estar longe de um lugar; retirado de um lugar; não presente; ausente. | Não existente; carente.,The teacher was absent from the classroom when we received the homework.,The manager is absent from the meeting and hasn't sent a replacement.,A professora estava ausente da sala de aula quando recebemos a tarefa.,O gerente está ausente da reunião e não enviou um substituto.,,,
