Question,Option 1,Option 2,Option 3,Option 4,Don't Forget
Qual phrasal verb significa sair da cama?,I got out of bed at 8.,I got up the bed at 8.,I get off the bed at 8.,I left the bed at 8.,Get out of bed = sair fisicamente da cama. Get up pode ser só acordar. British English separa quando quer ênfase.
Como dizer friozinho de forma coloquial em British English?,It was a bit nippy.,It was a bit chilly.,It was a bit cold.,It was a bit freeze.,Nippy = gíria British English para frio leve. Chilly funciona mas é neutro. C1 usa vocabulário específico de registro informal.
Qual está correto para no final da tarde?,Late in the afternoon,In the end of afternoon,At the end of the afternoon,On the late afternoon,Late in = período do dia. At the end of = ponto final de algo específico. In the end = no final das contas.
Onde vai hardly ever na frase?,It hardly ever rains here.,It rains hardly ever here.,Hardly ever it rains here.,It ever hardly rains here.,Advérbios de frequência como hardly ever; usually; often vêm antes do verbo principal mas depois do verbo to be.
O que significa it's chucking it down?,It's raining heavily.,It's snowing.,It's hailing.,It's very windy.,Chuck it down / tip it down = British English para chover muito forte. C1 usa expressões idiomáticas de clima.
Qual usa Present Perfect Continuous certo?,I've been working out for a month.,I am working out for a month.,I worked out for a month.,I have worked out for a month.,Have/has been + verb-ing = ação que começou no passado e continua ou acabou de parar.
Shake vs Smoothie em British English?,Shake = com sorvete; Smoothie = fruta batida,Shake = fruta; Smoothie = sorvete,São iguais,Shake = quente; Smoothie = frio,British English: milkshake leva sorvete. Smoothie = fruta/vegetal batido e mais saudável.
Como se escreve sobremesa?,Dessert,Desert,Deserts,Dissert,Dessert = SS de super sweet. Desert = areia com 1 S. Dica de memorização para C1.
Phrasal verb para começar a fazer algo?,Get started on,Start with,Begin on,Get to start,Get started on = British English comum. Mais natural que start preparing. Ex: I need to get started on dinner.
Ordem formal correta?,My father and I went out,Me and my father went out,I and my father went out,Father and me went out,Polidez: outro primeiro. Gramática: I como sujeito não me.
Narrando o dia: qual tempo verbal?,The sky was cloudy.,The sky is cloudy.,The sky has been cloudy.,The sky will be cloudy.,Para contar algo que já aconteceu hoje usa Past Simple: was/were. Is só se ainda está acontecendo.
O que é crack on with?,Continuar/fazer algo com foco,Quebrar algo,Criticar,Desistir,Crack on with = British English informal = mandar ver; continuar. C1 usa pra soar natural.
On my way home vs On my way back home?,On my way home,On my way back home,In my way home,To my way home,On my way home = indo pra sua casa. Back home = voltando pra cidade/país de origem.
Qual preposição com lean?,Lean against the wall,Lean on the wall,Lean at the wall,Lean in the wall,Lean against = encostar-se para apoio. Lean on = depende de alguém. Colocação fixa.
Como dizer estou exausto em British English informal?,I'm knackered,I'm tired,I'm sleepy,I'm exhausted,Knackered = gíria British English para muito cansado. C1 domina registro informal.
Qual correto: It winter?,It's winter,It winter,Its winter,It is winter,It's = it is. Its = posse. Apóstrofo faz diferença. Erro comum B2.
Afters significa o quê em British English?,Dessert,After-school,Later,Again,Afters = gíria British English norte do Reino Unido para sobremesa. Pudding também é usado.
Qual phrasal verb para aparecer?,Show up,Show off,Show in,Show down,Show up = aparecer/chegar. Show off = se exibir. Falsos amigos.
I've got a car em American English seria?,I have a car,I got a car,I am having a car,I had a car,Have got = British English muito comum para posse. American English prefere só have.
Como dizer fila em British English?,Queue,Line,Row,File,Queue up = entrar na fila. American English usa line. Diferença chave British English/American English.
Qual correto: at the weekend ou on the weekend?,At the weekend,On the weekend,In the weekend,For the weekend,At the weekend = British English. On the weekend = American English. C1 escolhe consistente.
