Question,Option 1,Option 2,Option 3,Option 4,Explanation
"I usually wake up around 8, with sunlight _ my room.",streaming into,streaming in,streaming to,streaming,"Streaming into = entrando de forma contínua. Streaming in também é possível, mas o texto usa into (movimento para dentro de um espaço)."
I don't even need to _ alarm.,set an,set the,put an,put the,Set an alarm é collocation fixa. Put an alarm não existe. Artigo an porque alarm é mencionado pela primeira vez.
I can see my three little dogs _ for me.,already waiting,are already waiting,waiting already,already wait,See + object + -ing: see dogs waiting (sem are). are already waiting criaria duas orações sem conjunção.
I _ my gym clothes and head downstairs.,throw on,throw,throw up,throw in,Throw on = vestir rápido. Throw sozinho = jogar (sem sentido de vestir). Throw up = vomitar. Throw in = desistir / acrescentar.
My dogs jump _ me.,up at,up on,at,on,"Jump up at me = pular em minha direção (de baixo para cima, encostando). Up on = subir em cima de mim. At = direção agressiva. On = em cima (estático)."
It gives me _ to work out.,enough energy,energy enough,energy sufficient,sufficiently energy,"Em inglês moderno, enough vem antes do substantivo (enough energy). Energy enough é arcaico/poético."
I go upstairs to brush my teeth and _ my headphones and keys.,grab,take,get,catch,Grab = pegar rapidamente (tom do texto). Take é genérico. Get é possível mas menos vívido. Catch = pegar algo em movimento.
I leave home at 9 and _ the gym.,head to,head,go to,head at,Head to = ir em direção a. Head sozinho precisa de direção (head north). Head at não existe.
I listen to podcasts _ there.,on my way,in my way,on way,in way,Collocation fixa: on my way. In my way = atrapalhando. On way sem my soa incompleto.
_ about 15 minutes to get there.,It takes,Takes,It take,Take,Sujeito It + verbo no singular: takes. Takes sozinho não tem sujeito. It take erro de concordância.
"In the mornings, this gym is much _ than my old one.",busier,more busy,busy,busyer,Busier é o comparativo correto de busy. More busy é erro gramatical. Busyer não existe.
The equipment is _ and quite old.,worse,more bad,bad,worst,Worse = comparativo de bad. More bad não existe. Bad não compara. Worst é superlativo (precisaria de the).
_ is even rusty.,Some of it,Some of them,Some it,Some,Some of it = parte do equipamento (singular incontável). Some of them seria para objetos contáveis plurais (ex.: some of the machines).
I take the same _ home.,route back,way back,route,way,"Route back = caminho de volta. Way back também é correto, mas o texto usa route. Route sozinho perderia a ideia de retorno."
_ it's almost lunchtime.,By then,Until then,At then,By that,"By then = até aquele momento (quando chego em casa). Until then = até aquele horário (mas sem ideia de ""nesse ponto""). At then não existe."
Sometimes I _ in my hammock for a few minutes.,chill,relax,lie,rest,Chill = gíria para relaxar de forma descontraída (tom do texto). Relax é correto mas não é a palavra original. Lie = deitar (ignora o descanso ativo).
